Link: https://yugioh.fandom.com/wiki/Yu-Gi-Oh!_BAM/Transcript

Contents 
 
 1   Series 1 - Alba Litora 
 1.22   16.1. No Pain, No Gain 
 
 1.22.1   Story 
 1.22.2   Duel 
 
 
 1.23   17. Hackers 
 
 1.23.1   Story 
 1.23.2   Duel 
 
 
 1.24   18. The Stranger 
 
 1.24.1   Story 
 1.24.2   Duel 
 
 
 1.25   19. Brainwashed! 
 
 1.25.1   Story 
 1.25.2   Duel 
 
 
 1.26   20. Final Chase 
 
 1.26.1   Story 
 1.26.2   Duel 
 
 
 1.27   20.1. Ghouls Hideout 
 
 1.27.1   Story 
 1.27.2   Duel 
 
 
 1.28   21. Big BAM - Part 1 
 
 1.28.1   Story 
 1.28.2   Duel 
 
 
 1.29   22. Big BAM - Part 2 
 
 1.29.1   Story 
 1.29.2   Duel 
 
 
 1.30   22.1. A Ray of Hope 
 
 1.30.1   Story 
 1.30.2   Duel 
 
 
 1.31   23. Big BAM - Finale 
 
 1.31.1   Story 
 1.31.2   Duel 
 
 
 1.32   23.1. The Insanity 
 
 1.32.1   Story 
 1.32.2   Duel 
 
 
 1.33   24. Is It Really Over? 
 
 1.33.1   Story 
 1.33.2   Duel 
 
 
 
 
 2   Series 2 - Tropica City 
 
 2.1   1. Tropica-Bound 
 
 2.1.1   Story 
 2.1.2   Duel 
 
 
 2.2   2. A Friend's Past 
 
 2.2.1   Story 
 2.2.2   Duel 
 
 
 2.3   2.1 Power of Friendship 
 
 2.3.1   Story 
 2.3.2   Duel 
 
 
 2.4   2.2 Duelist Training Center 
 
 2.4.1   Story 
 2.4.2   Duel 
 
 
 2.5   3. Books and Duels 
 
 2.5.1   Story 
 2.5.2   Duel 
 
 
 2.6   4. New Friend, New Foe 
 
 2.6.1   Story 
 2.6.2   Duel 
 
 
 2.7   5. Spirituality 
 
 2.7.1   Story 
 2.7.2   Duel 
 
 
 2.8   6. A Very Dark Night 
 
 2.8.1   Story 
 2.8.2   Duel 
 
 
 2.9   6.1 A New Darkness 
 
 2.9.1   Story 
 2.9.2   Duel 
 
 
 2.10   6.2 Against Their Will 
 
 2.10.1   Story 
 2.10.2   Duel 
 
 
 2.11   6.3 
 
 2.11.1   Story 
 
 
 2.12   7. Silent Crypt 
 
 2.12.1   Story 
 2.12.2   Duel 
 
 
 2.13   7.1 Peaceful Confusion 
 
 2.13.1   Story 
 2.13.2   Duel 
 
 
 2.14   7.2 Divine Terror 
 
 2.14.1   Story 
 2.14.2   Duel 
 
 
 2.15   8. Qualifications 
 
 2.15.1   Story 
 2.15.2   Duel 
 2.15.3   Tutorial 
 
 
 2.16   8.1 Quarterfinals 
 
 2.16.1   Story 
 2.16.2   Duel 
 
 
 2.17   8.2 Semifinals 
 
 2.17.1   Story 
 2.17.2   Duel 
 
 
 2.18   9. The Underworld 
 
 2.18.1   Story 
 2.18.2   Duel 
 
 
 2.19   9.1 Team Up 
 
 2.19.1   Duel 
 
 
 2.20   9.2 War Room 
 
 2.20.1   Story 
 2.20.2   Duel 
 
 
 
 
 
 
 
 Series 1 - Alba Litora 
 World Map 
 Note:  This first section contains the text displayed on the world map, starting at the introduction. As you complete chapters, more of this section is revealed. 
 Welcome to Yu-Gi-Oh! BAM! This is your world; a shattered place lost in time after a cataclysm that wiped out all traces of the duels. Click on the blinking Chapter Node to start your adventure.
 With Yugi's help, you have started training for the BAM tournament. The person behind it is known as the "Organizer", whose identity remains shrouded in mystery. What's even more mysterious is that you were sent you a personal invitation, even though you had no prior knowledge of BAM! Anyways, you're not quite ready to duel on your own - you still need to learn about Spells! 
 You're making amazing progress, and you definitely show serious potential... Is it just a coincidence that the Organizer sent you a personal invitation to the BAM tournament? After all, some legendary duelists have also started showing up... You're up against some serious competition! It's time to go out there and test your skills - who knows who you'll meet? 
 Checking out a B!-T resulted in a brush with B!-Sec. The Hologuard made a big deal out of it. All this is pretty mysterious: you don't know anyone involved in the organization of the BAM Tournament, yet you get a personal invitation but are not allowed to go anywhere near the Training Facility... You head back to Yugi's studio: maybe he can help you make sense of it all? 
 The Ghouls kept ambushing you and they're clearly more interested in you than in your cards. Why? Plus, you received a personal invitation from the Organizer of the BAM tournament, even though you had no prior knowledge of BAM or its rules... Who is the leader of the Ghouls? Is he - or she - connected to the Organizer? The only way to find out is to keep moving forward! 
 Your encounter with the leader of the Ghouls confirmed that there is something in you that makes your BAM potential highly valuable. No doubt that Yugi, Yusei and Akiza have felt that and want to help you however they can. But the leader of the Ghouls - whoever he may be - has other intentions... it may not be too late to catch up with him to find out!
 Why did your Friends turned against you? There was no reason with them, as though they were brainwashed? Could the leader of the Ghouls be behind this? You lost track of him towards the end of the level, then... you couldn't remember what happened.
 Yugi found you unconscious on the other side of town. How did you end up there? But more urgent matters surfaced when Yugi learned of the disappearance of his friend Joey. Just as you set out to look for him, Seto showed up and requested to see how your skills had improved. You showed him, alright. As for Joey's wherabouts, X marks the spot: it seems he's been kidnapped and is held captive in an abandoned factory on the outskirts of town.
 With Yugi's help, you disabled all the B!-Ts that locked the entrance to the factory. Seeing how many Ghouls you had to defeat to get inside, Joey must be close... 
 You rescued Joey but had to duel with him to bring him back. But no sooner had he recovered that Marik, the leader of the Ghouls, showed up and challenged you! You managed to beat him, but only to have B!-Sec show up and arrest Yugi. You had barely escaped with Joey and made it back to the training studio when you had a chance encounter with Yusei: only to learn that it was now Akiza who was missing! You accepted Yusei's request and the both of you split to look for her...
 Thankfully, the figure that had been following you didn't mean any harm. It was Crow, Yusei's friend: a skilled duelist and a worthy ally. But first you had to prove your worth through a few duels against him!
 Crow and you regrouped with Yusei. Together, you were able to hack your way into the hideout of yet another mysterious stranger. Will you find Akiza and learn the identity of her kidnapper?
 You rescued Akiza, but Devack got the best of Yusei and Crow before they could do anything. It was up to you to defeat him and rescue Akiza. As you ran away towards the exit, more of your brainwashed friends tried to prevent you from escaping. Would they ever snap out of it? As you got closer to the exit, a feeling of dread came over you... 
 Hadn't it been for your B!-T hacking skills, you would all have been dead, because the building would have self-destructed. However, you still had to plow through hordes of Hologuards before you could get out... and fight a new powerful duelist! Luckily, Yusei and Crow handled it from there, so that you could get Akiza to safety.
 Things were getting worse by the minute: you were now officially a fugitive! As expected, everyone turned against you... When will you get some rest? 
 Throughout your struggles against Devack, you never stopped thinking about Yugi and how to rescue him. Joey's plan to pose as a B!-Sec officer bringing you, the fugitive, into custody was simple yet perfect... except for one small detail: how would he be able to get his hands on a B!-Sec uniform? Who would have thought Seto would be the one helping you make it come true? All you needed to do was quench his thirst for duels...
 Joey's plan worked out alright. You managed to get deep inside B!-Sec headquarters, and judging by the number of B!-Ts you had to hack, Yugi was definitely held prisoner nearby... And indeed he was! 
 Before leaving B!-Sec, Yugi wanted to investigate the corrupted Hologuards. It turned out that someone had hacked their source files and tampered with the code. That someone was Marik, who showed up with a few corrupted B!-Sec Hologuards just as you were about to clean the corrupt data. Too bad a big blast knocked Yugi and Joey out... A mysterious figure appeared through the hole created by the blast: Roman Goodwin! 
 So Roman was behind the brainwashing of your friends! Thankfully, Yusei, Akiza and Crow showed up just in time to handle the extra opponents. With only Roman standing between you and freedom, you took a few steps towards him... only to be stopped in your tracks by... Akiza?
 You managed to make Akiza snap out of it after a few duels, only to have to go through Devack again. Roman used the opportunity to flee. Realizing he was losing, Devack tried to flee as well, but you caught up with him!
 After going through the remnants of the corrupted B!-Sec Hologuards, you confronted Devack in an ultimate duel and defeated him... but not before he could prick you with a neuro-needle!
 Why did you turn against your friends?
 What is it with you? You friends, now free from the brainwashing, even tried to stop you, to no avail. 
 Devack had stunned you before fleeing, a parting gift of sorts that brainwashed you! But your friends brought you back at the peril of their lives. Is it all over, now?
 On the eve of the BAM! tournament, you were reflecting with Yugi on what had happened when Marik tried one last time to get you. You successfully managed to defeat him and his Ghouls - for now, you guess. But one question remained unanswered: why was everyone trying to get you? What's so special about you that Marik, Devack and Roman would go to such great lengths to get you? Maybe you're not who you think you are?
 
 1. Uncharted Territory 
 
 Story 
 Follow Yugi's advice to learn the basics and train for the BAM tournament.
 You've got a long way to go, but Yugi believes there's something special about you...
 Click on the nodes to play through the map and clear a path to the END of the chapter.
 So far, the concept is pretty easy to grasp: drag-and-drop Monsters on the Field, then hit BAM! 
 That last duel proved pretty easy. There's surely more to BAM! than Monsters. Hey, wait a minute - is that a Treasure Node over there?
 
 Duel 
 That's right! Click on a Node to travel there! Keep moving, now!
 You're on your own now - give it all you've got!
 You're doing great! One more time and we're done for now!
 
 Tutorial 
 Use the mouse to drag your 3 cards to the available slots.
 Let's continue our duel, so place your cards and hit BAM again!
 In channel 1:
 Your Monster destroys mine because its Power is higher! 
 In channel 2:
 Our Monsters are evenly matched, so both are destroyed.
 In channel 3:
 My Monster destroys yours! 
 Great! 
 Now click BAM! 
 You're taking a beating! Have you tried filling all your slots with Monsters?
 
 2. A Taste of Things to Come 
 
 Story 
 Spells are your friends. Once again, Yugi will show you how to best use them.
 Yugi taught you how to use Spells and made you realize that there was more strategy to BAM! than you first thought.
 Once again, you performed well and displayed a promising mastery of your Spells. Keep going!
 Another victory! Proceed and claim your reward!
 
 Duel 
 There's more to Flash Duels than Monsters, you know. You can use Spells as well!
 Get your game on - I'm gonna show you some new tricks!
 Don't forget to use Spells!
 Wow! You show a lot of potential!
 That's it for this Chapter: I'm impressed!
 
 Tutorial 
 Looks to me like you're ready to play with Spells.
 Take a look at the Field, then play your Spells. 
 You can use Spells to boost your Monsters or weaken your Opponent's. 
 You're getting the hang of this! Keep an eye out for more Spells in your deck. Play them wisely. 
 Not bad, not bad at all. But I've got a few tricks up my sleeve! 
 Are you sure you don't want to put 3 Monsters on the Field? Maybe you should...
 
 3. Best Enemies Forever 
 
 Story 
 You're a fast learner! Next on the list: Power-ups! 
 Now you know pretty much all there is to know about BAM! Many challenges await in the coming days: will you be able to tackle them and prove your worth? For now, it looks like it's going to be a quiet evening: so why don't you check out the BAM! Training Facility on your own?
 B!-Ts - short for BAM! Terminals - are security devices spread all across Alba Litora. Since you must win the duel in order to proceed further, B!-Ts normally ensure that only qualified personnel can access restricted areas... You were just curious - hopefully no one will think you had any bad intentions...  
 Checking out the B!-T got you into a fight with a B!-Sec Hologuard. Be more careful next time around!
 Hey - isn't that Seto Kaiba over there? He must be one of the special guests... Not only is he President of KaibaCorp, he's also a master duelist.
 There is a strong rivalry between him and Yugi because of past events.
 Looks like he spotted you - prepare to duel! 
 Wow - Seto is pretty arrogant. And you definitely feel that he didn't unleash his full power on you... He is a VIP at the Training Facility; maybe that means he knows more about the Organizer? Hopefully you'll learn more the next time you meet...
 
 Duel 
 Next stop: How to use Power-Ups.
 Simply put, a Power-up will almost always make you win. But once they're gone, they're gone - so use them wisely!
 Restricted Area - Win Duel to Proceed..
 Hey - who's that?
 Hey, you, over there! The BAM Training Facility is closed. Besides, access is restricted to Security and VIP guests for the moment. Get out! Now!
 What was that all about? It seems they know you around here...
 Huh? What's Seto doing here?
 Hey - aren't you Yugi's new pupil? How pathetic, that he would use someone like you to try and get to me!
 
 Tutorial 
 Take a look at the Field and do the math - do you think you can win this round?
 With Power-ups, you can! Go ahead, place all your Power-ups on the Field.
 Hit BAM when you're ready!
 Hit BAM when you're ready!
 Ouch! As you can see, Power-ups can really get you out of trouble!
 Just use them wisely: once they're gone, they're gone!
 
 4. Ambushed 
 
 Story 
 It's getting darker by the minute. You could swear you saw something - or someone - around the corner over there... Do you really need to go look for Power-ups tonight?
 First B!-Sec Hologuards, now these "Ghouls"! They look like some sort of street gang or thieves; up to no good, that's for sure. You sure know how to make friends...
 You've just begun your BAM training. Are your Cards really that powerful, that these hooded thugs would want to steal them? There's more to it, that's for sure. Better be careful not get ambushed!
 Whew! That was a close call! But it looks like there's more of these "Ghouls" coming!
 You can see Yugi's place from here. It's right around the corner - why did he pick such a remote place to train? 
 Yugi sure knows how to create cool combos! This lesson will surely help you build more powerful decks... which you'll no doubt need if you ever encounter more of these "Ghouls"! (Somehow, you feel you will...)
 
 Duel 
 Hey - nice cards you got there! Hand them over!
 I'll show you I mean business!
 That's as far as you go!
 How about one more go?
 I'm surprised you made it this far... but you're not going any further! 
 This time, I'll win!
 You haven't seen the last of me!
 You were ambushed? Hmm... Let me show you how to build combos. Duel and learn!
 Surprise!
 You're not getting any further!
 
 5. New Friends 
 
 Story 
 News of your deeds with the Ghouls have reached Yusei Fudo and Akiza Izinski, famous duelists known for their style and personality.
 They were also invited to the BAM tournament, and they insisted upon meeting you. It's time for an introductory meeting!
 Whoa! Yusei sure is powerful - better make sure you're playing with your best deck.
 Yusei is as intrigued as you are by what happened to you: good thing he's on your side!
 It looks like Akiza wants to duel too! She may just join Yusei and help you if you display your impressive duel skills!
 You feel that Akiza is holding back a bit... as if she were afraid of hurting you.
 Dueling with Yusei and Akiza left you exhausted. You decided to wander the streets for a bit and get some fresh air.
 That mysterious duelist is way stronger than those Ghouls!
 Could he be their leader?
 There's your chance of finding out more about why he sent his goons after you.
 
 Duel 
 I'm Yusei. They say you're pretty good - would you do me the honor of a duel?
 Say that again? Hmm, there could be a link between the street thugs and the Organizer... I'll help you with your investigation. But first, let's have one more go! 
 My name is Akiza. I've been through a lot myself and I'll gladly lend you a hand - provided you defeat me in this duel!
 Amazing! Come on, show me some more tricks!
 Still wandering the streets alone, are we?
 The Boss promised a reward to the first one who'd bring you to him!
 I'm the leader of the Ghouls. I see they have failed to capture you. I'll take care of you myself!
 
 5.1. Yusei's Extreme Challenge 
 
 Story 
 Your new friend Yusei asked you to meet him at a local Dojo. Accepting his invitation, you make your way there. The first thing you notice is the size of the building. The second is the number of BAM! terminals. Yusei is standing next to the door. Are you sure you want to do this he asks. You can always come back later.
 Yusei flips away and activates a switch. The Dojo's traps and modules come alive. The light dims. You hear Yusei from different directions, but can't see him. You feel confused and lost, but something tells you that you need to complete these trials!
 These challenges are tough, but then again, only the best have the right to call themselves BAM Masters!
 Yusei challenges you with every training technique he can think of. You're going to have to keep the pace!
 After this duel, Yusei's teachings start to sink in. Some things are still difficult to grab, but you get the gist of what he's trying to teach you.
 You realize that your friend is starting to slow down the pace. Or maybe you're the one picking up the pace? Yusei falls to the ground, fast asleep. You smile. He really gave everything he had. You turn the lights back on and shut down the machines. As you walk toward the exit, you notice that your legs are stiff and seem to weigh a ton. They're gonna hurt tomorrow. But like they say: no pain, no gain!
 
 Duel 
 A true duelist has to be fit both mentally and physically. Are you in shape? Let's see how you fare against my Jurrac Titano! Remember: if it's too hard, you can always come back later.
 Forget eyesight! You have other senses! Use everything you've got! Face my sneaky Monsters, such as the Dark Magician and the Ocean Dragon Lord - Neo-Daedalus!
 I'll attack you with my Beast deck. Dodge all of my attacks and learn the way of the Beast. But watch out: they'll use Immune and Boost on themselves!
 Plants are often underestimated. But look around: they're everywhere! You need to feel them breathe. Learn by going up against Tytannial, Princess of Camellias.
 Run, jump, endure the pain! Continue your training with a duel against Fairies! This deck is balanced for Immunity and Boost!
 Grab that spear and test it out while our Monsters face off in their Channels. My Beast-Warriors will do the same; they do like their heavy weapons!
 Now take a sword and swing it around! How does it feel? Do you feel like a Warrior? See, my deck is full of 'em! Get ready to duel against these mountains of muscles!
 You must be pretty confused! Being blind isn't a good feeling, eh? And to make it even more uncomfortable, I'll throw in some of the meanest Zombies I can find. 
 Another important part of training is learning how to take on tall adversaries! And what's taller than a Dinosaur?!
 Moving in water is hard for humans, but not for Sea Serpents! Some of them are sneaky, others protect their allies. Some even Boost their team! That's what we call team spirit.
 Water making you uncomfortable? Yes. It shows. That's why you need more training! Do like my Monsters: get used to water!
 Blind, soaking, confused. Your senses should be ready! Are you? Then duel against my Water Boosting deck!
 Training procedure activated! Machine deck ready for confrontation.
 Avoid the projectiles! Also, try to dodge my Monsters' direct damage! All of their attacks will bypass your Monster's defense! Endure and progress!
 Never let your guard down! Some enemies will play dead; some cards, like mine, will attack after they're destroyed!
 Some martial arts teach you to use your opponent's strength against him. In a duel, this effect is called Osmosis. This Fiend deck is filled with that effect!
 You're good; you really are. You understand synergy and teamwork! Empathy and Soothe are classic examples of teamwork.
 You're still standing? Good! Let's spar for a bit. The more you hit me, the angrier my creatures get. That's right! You'll be facing Rage Monsters.
 Training procedure activated! Machine deck ready for confrontation.
 Drain and Rage are a very dangerous combination. Let's do a few sit-ups while we duel, just to spice things up!
 Training procedure activated! Machine deck ready for confrontation.
 Training procedure activated! Machine deck ready for confrontation.
 Training procedure activated! Machine deck ready for confrontation.
 Training procedure activated! Machine deck ready for confrontation.
 Now for a bit of rope jumping. This exercise gets more difficult with time. Just like Drain Monsters. Let them damage your Life Points and they'll get too strong for you!
 Now, I've set your rope on fire! Keep jumping while you deal with my Shocking Drain Monsters!
 While we climb this rope, I challenge you with my Dragon deck!
 How fast can you run? Let's put your speed to the test with my Explosion Monsters!
 Training procedure activated! Machine deck ready for confrontation.
 Here, put on that armor. I'll show you how to pierce it. Monsters with Break Immunity are particularly apt at punching through en enemy's defenses. And this deck's full of 'em.
 Let's go for a swim. And don't forget to hold your breath while I show you my Water Monsters!
 Still standing? How many push-ups can do while you duel against my Osmosis Monsters?
 Training procedure activated! Machine deck ready for confrontation.
 Training procedure activated! Machine deck ready for confrontation.
 Training procedure activated! Machine deck ready for confrontation.
 Your mind needs to be sharp. You've got to trust your instincts and rely on your wits. I challenge your spirit with my Psychic deck!
 Now for an endurance challenge! Climb this slope while you duel against my Rock Monster. Their Life Points are prodigious! Will you be able to endure through the entire duel?
 Training procedure activated! Machine deck ready for confrontation.
 Flash! Here's light in your eyes! Now let's see if you've learned to trust your other senses! Duel my Light Monsters!
 Now for a little trial of dread and terror! If you're afraid, your BAM gets weaker. Duel this evil deck I bought during BAM-O-WEEN. It's frightening!
 Birds are swift and agile. You would do well to learn from them. Here, face my Winged Beasts!
 You can use Spell Cards in a duel, but try not to rely on them too much. You could go up against a Spellcaster!
 In a duel, your Life Points represent your endurance. I've got a deck here that'll show you what it's like to duel an opponent with tons of Life Points.
 Even when injured, you need to keep a good morale! Here's an example of the kind of card that can Cripple your Monsters.
 Power Redistribution is a great show of teamwork! Learn from this Thunder deck how to manage such a level of synergy!
 Training procedure activated! Machine deck ready for confrontation.
 C'mon! Push-ups, sit-ups, pull-ups, jump, run, dash, fight, dodge, lift those weights. Now let's duel!
 Wait for it, wait, wai- DODGE! Perfect! See? Sometimes, you're better off waiting till the last moment before you act. Last Stand is just like that.
 I'm starting to lose stamina; that's not good! Okay, let's duel! This deck is really strong, pure Attack Power! Watch out!
 A well-trained BAM master can challenge anyone with any cards. Check this deck out: I built it with a bunch of random cards.
 Training procedure activated! Machine deck ready for confrontation.
 Some Monster families such as the Beasts and the Beast-Warriors work well together if the right Spell Cards are used. Lemme catch my breath during this duel!
 Now, the ultimate tests to see if you've learned on which sense to rely in any situation. My deck is both a Dark and Light. Get ready to be blinded.
 Did you ever duel in arctic conditions? I'll turn down the heat. Try to keep up against this Wind and Water deck.
 Training procedure activated! Machine deck ready for confrontation.
 Training procedure activated! Machine deck ready for confrontation.
 I'm so tired. You've got great stamina! Alright, let's see what you can do against this deck filled with direct damage.
 Training procedure activated! Machine deck ready for confrontation.
 Finally, the ultimate trial. Are you ready?
 
 6. Former Friends? 
 
 Story 
 The chase is on!
 You need to find out who attacked you... but most importantly, why.
 Too bad - you won, but he got away.
 Coward!
 Huh? Why would your friends attack you???
 Again?
 They don't seem quite normal... something in their eyes...
 Could someone else be controlling them?
 You won fair and square, but just before he left, that stranger stung you with something!
 Your head starts spinning...
 As you fall to the ground, unconscious, a dark figure looms over you...
 
 Duel 
 Indeed, you show great potential... But now is not the time!
 Must... destroy you!
 I...will...get you!
 No, we don't know each other!
 This will be your final duel!
 Well, well, well. Looks like I'm not the one who wants you to "join" his side! But where others have failed, I will succeed. Your powers will help me rule the world - and then some!
 Oh, so you're looking for seconds, right? I may just have a little surprise for you...
 Oooh, I'm scared!
 
 7. The Plot Thickens 
 
 Story 
 You're in the woods, at the other end of town. Your head hurts.
 You have no clue as to why or how you got there.
 It felt like someone was carrying you but dropped you in a hurry.
 Hey - is that Yugi coming towards you?
 That duel with Yugi helped... a bit. But your memories are still a bit blurry - maybe another duel would do the trick? Hah! Now you remember: the dark alley, the ambush by a mysterious figure, the sting...
 As you relate these events to Yugi, he frowns... You were lucky he spotted them and could catch up to save you!
 You've found one of your kidnapper's accomplices! Quick, catch him before he runs away!
 Yugi manages to get rather disturbing news from the Ghoul: his friend Joey Wheeler is in Alba Litora, where he's being held captive by the Ghouls!
 But your conversation is once again interrupted by Seto.
 He's always popping up at the worst of times... 
 The duel with Seto resulted in your Ghoul rival fainting before telling you more about Joey's whereabouts.
 Since B!-Sec doesn't like you, you'll have to investigate this matter yourself... 
 
 Duel 
 What happened? It looks like you got knocked out... You can't remember anything? Maybe a duel or two will jog your memory!
 A huge guy wearing a cloak was carrying you over his shoulder... Does that ring a bell?
 I'll get you this time - hopefully. Prepare to duel!
 Oops! Did I interrupt your little chat? I was just wondering if your dueling skills had improved at all.
 Just checking if your reflexes were back!
 Found you again!
 How about I let you win again? I wouldn't want to make you cry!
 
 8. Storming the Hideout 
 
 Story 
 Your investigation led you to an abandoned factory outside of town.
 An unwary traveler could easily get ambushed here... thank goodness Yugi is with you!
 There are B!-Ts all over the place. You'll have to hack them all to get inside the factory.
 (It's not like it's the first time you've done that, right?)
 That was fun! 
 That one was a bit too easy for your taste.
 A little challenge wouldn't hurt!
 Interesting combos - but alas, not strong enough to defeat your deck!
 Getting closer...
 Another one of your new friends was waiting for you...
 ?Now, that level 2 B!-T was a worthy challenge!
 The gate to the factory has been unlocked. 
 You proceed inside with caution...
 
 Duel 
 Restricted area - Win duel to proceed.
 Restricted area - Win duel to proceed.
 This area is heavily guarded. You should give up now!
 Restricted area - Win duel to proceed.
 Restricted area - Win duel to proceed.
 Why do you keep nosing around?
 I thought I told you to go away. Oh, you're in for it now!
 Restricted area - Win duel to proceed.
 
 8.1. Yugi's Expert Challenge! 
 
 Story 
 Yugi is giving a special seminar to promising duelists such as you. Do you have what it takes to earn your expert rank? Remember, not succeeding at first try is part of the game! If you find you lose too often, come back later when you've earned more cards!
 You've just beaten Yugi's best Spellcaster deck. Rumors has he's already built a new deck that uses the Last Stand effect...
 You are part of the very few select duelists who were able to beat Yugi's second class. You move on to the next class: Empathy.
 Your skill has impressed Yugi so much that he's agreed to move you up to his last expert class: Drain.
 You've beaten Yugi's top challenge! But don't rest on your laurels just yet, it's been said that there are other masters in this world waiting to challenge you!
 
 Duel 
 Build your deck around elemental attributes, then boost all monsters of this attribute! This deck uses Light Monsters.
 You can also build your deck around types of Monsters, then boost all Monsters of this type. Go Spellcasters!
 A lot of insects have empathy, too.
 Now let's see what happens if I pair up Drain and Last Stand...
 Most spellcasters destroy spells. It is a great defense against even the most powerful of spells.
 Notice how destroying spells works well with Call of Darkness and the Empathy effect!
 Let's see how you fare if I add up Dark Magicians to my deck.
 Last Stand doubles your Monster's Power if no cards remain in your deck. It's a great way to get the upper hand at the end of a duel.
 I coupled Last Stand with Drain, let's see how it plays!
 Can you feel the thundering power of my Raigeki card?
 Empathy is a double edged sword. It boosts your monsters when you gain Life Points, but it cripples them when you lose Life Points.
 Fairies have a natural tendency to have empathy.
 Are you strong enough to defeat my mighty The Cheerful Coffin and Empathy combo?
 Drain boosts your Monster when the Opponent loses Life Points. Wicked, huh?
 I tried coupling Drain with a variety of other effects. Those among them that hurt the opponent work very well in combo with Drain.
 I believe I found it... The ultimate deck... That is, until the next time we meet.
 
 9. Escape! 
 
 Story 
 Yugi and you have spotted several Ghouls patrols.
 Looks like rescuing Joey - if he's even here! - won't be such a piece of cake, after all.
 You must be getting close to Joey...
 You found Joey! Maybe another duel will help him come back to his senses?
 Just don't be too hard on him...
 Joey's back and tells you both what happened.
 As Yugi suspected, an old enemy, Marik Ishtar, is behind the kidnappings. He has got to be around here somewhere... let's look for him! .Whoa, Marik is truly a force to be reckoned with! But he's down for the count, at least for now... Hey! Where'd he go?
 As you realize that there are B!-Sec Hologuards all over the place, it's too late: Yugi, mistaken for one of Marik's Ghouls, has been arrested!
 He yells for you and Joey to get out!
 B!-Sec means trouble. You've learned your lesson now.
 You can see the exit, and there's one last Hologuard standing between you and freedom!
 Better lay low for a while...
 
 Duel 
 Hey - how did you manage to get in here?
 Stop, or... or I'll tell the boss!
 Go easy on me, OK?
 My head still hurts... do we really need to keep dueling? I know you're trying to help, but...
 There's no point in concealing my identity anymore. My name is Marik - and that's about all you need to know!
 You didn't see this one coming, now did you?
 You there, freeze!
 We'll arrest you!
 You're going to jail!
 
 10. On the Hunt - Yet Again! 
 
 Story 
 In light of the recent events, several questions need to be answered: 
 Why was Joey kidnapped? What is Marik up to? How will you be able to rescue Yugi? You've never been much of a troublemaker, so why would B!-Sec be after you...?
 But there are more urgent matters at hand: on your way back, Yusei catches up with you and tells you that Akiza has disappeared! You split up to look for Akiza...
 Now, who was that?
 This guy sure is tenacious...
 But somehow, you don't feel threatened.
 It's Crow Hogan - Yusei's long time friend.
 He's heard about you, but before he can trust you, you'll need to win a couple of duels against him! 
 One more and you should be able to count on Crow's help to find Akiza.
 You looked everywhere with Crow but couldn't find Akiza, not even the slightest clue...
 Maybe Yusei had more luck?
 You head back to the training facility with your newfound friend Crow.
 
 Duel 
 Let's have some fun first, shall we?
 You're pretty good!
 (Yusei was right...)
 You'll have to go through me first!
 OK, enough with the games! My name is Crow. Yusei trusts you, but I wanna check for myself. Let's duel!
 Am I interrupting something?
 Let's have one more go, OK?
 This is the last time, I promise! Win this one, and you win my trust!
 This is the last time, I promise! Win this one, and you win my trust!
 
 10.1. Seto's Arena Training 
 
 Story 
